LEMMA,POS,SENT_ID,,SENT_ID,,SENT_ID,,ENOUGH_CONTEXT_SENTENCES?,“POLYSEMY”,,
contattare,VER,1073334,,10121225,,10124975,,X,,,
opinione,NOM,388814,,4853062,,423778,,X,,,
ventenne,ADJ,9045476,,,,,,,,,
massa,NOM,1325453,,10059519,,9319354,,X,massa grassa,,
consigliare,VER,527178,,350630,,3650563,,X,,,
calore,NOM,2577344,,379772,,379771,,X,,,
comune,NOM,,,,,,,,,,
comune,ADJ,1152804,,1806206,,3003302,,X,,,
bozza,NOM,10288316,,9322076,,9023776,,X,,,
gridare,VER,3239441,,9459110,,9377246,,X,,,
migliorare,VER,1798069,,2998340,,9512767,,X,,,
presente,ADJ,609598,,609639,,917388,,X,,,
metallo,NOM,9987516,,9004692,,10404391,,X,,,
folle,ADJ,2231635,,9022092,,10460024,,X,,,
orale,ADJ,4518,,,,,,,,,
quadrare,VER,,,,,,,,,,
arricchire,VER,9201196,,9770588,,,,,un’esperienza che arricchisce,,
sacrificio,NOM,1514736,,9580773,,10163997,,X,,,
fruttivendolo,NOM,10085815,,,,,,,,,
scadere,VER,1417183,,1854850,,10284229,,X,scadere del tempo,,
avvicinare,VER,4525811,,1101811,,10248653,,X,sia transitivo che riflessivo,,
distinguere,VER,1438610,,715238,,1405149,,X,,,
bravata,NOM,,,,,,,,,,
castello,NOM,1117127,,4473948,,9853366,,X,,,
controllo,NOM,6699603,,1689096,,10422692,,X,,,
valore,NOM,1606313,,1919313,,2895969,,X,,,
gettare,VER,864999,,998867,,9647943,,X,,,
consegna,NOM,350327,,3405784,,9847172,,X,,,
spogliare,VER,10218485,,,,,,,,,
importanza,NOM,1794726,,5981266,,4595,,X,,,
costume,NOM,2774556,,9761017,,10369114,,X,,,
diffondere,VER,9422468,,9750650,,9389229,,X,,,
capacità,NOM,2784746,,874413,,2427303,,X,,,
liquido,NOM,1827103,,9598774,,9564471,,X,,,
avvenimento,NOM,9887059,,9917624,,10318538,,X,,,
sito,NOM,,,,,,,,sito web,,
