LEMMA,POS,SENT_ID,AS_IS?,SENT_ID,AS_IS?,SENT_ID,AS_IS?,ENOUGH_CONTEXT_SENTENCES?,
ventenne,ADJ,,,,,,,,
massa,NOM,10171497,,10059865,,9319354,,X,
consigliare,,527178,yes,350630,yes,3650563,yes,X,
calore,,2577344,yes,379772,yes,379771,yes,X,
comune,,,,,,,,,"inteso sia come aggettivo (solo 1 es. Nel testo) o come comune, piccola città"
bozza,NOM,9804292,,10288316,,9023776,,X,
gridare,VER,3239441,yes,9638500,,9377246,,X,
migliorare,VER,1798069,yes,2998340,yes,9689284,,X,
presente,,609598,yes,609639,yes,917388,yes,X,
metallo,NOM,9004692,,9983908,,10404391,,X,
folle,ADJ,1228491,no,9049331,,9022092,,X,
orale,ADJ,9886074,,,,,,,
quadrare,VER,,,,,,,,
arricchire,VER,9201196,,9770588,,9989805,,X,
sacrificio,NOM,1514736,yes,9806481,,9580773,,X,
fruttivendolo,NOM,10085815,,,,,,,
scadere,VER,1417183,yes,1854850,yes,10284229,,X,
avvicinare,VER,4525811,yes,1101811,no,10248653,,X,
distinguere,,1438610,yes,715238,yes,1405149,yes,X,
bravata,NOM,10322066,,9934225,,9842712,,X,
castello,NOM,1117127,yes,4473948,no,9278479,,X,
controllo,NOM,6699603,yes,10422691,yes,10422691,,X,
valore,,1606313,yes,1919313,yes,2895969,yes,X,
gettare,VER,864999,no,998867,yes,9647943,,X,
consegna,NOM,350327,yes,9854614,,10163452,,X,
spogliare,VER,10218485,,2388998,,,,,
importanza,,1794726,yes,5981266,yes,4595,yes,X,
costume,NOM,2774556,yes,10369114,,9789012,,X,
diffondere,VER,9389229,,9750650,,1264514,,X,
capacità,,2784746,yes,874413,yes,2427303,no,X,
liquido,NOM,1827103,yes,9564471,,10085994,,X,
avvenimento,NOM,9917624,,10318538,,9887059,,X,
sito,NOM,,,,,,,,
condizione,,4484103,yes,4583641,yes,3059136,yes,X,POLYSEMY
scoprire,,852947,yes,928141,yes,429424,no,X,
